Name,Location,Website,Category,Email,LinkedIn,Source,Collected On,Email Valid
Pratham Education Foundation,"Mumbai, Maharashtra",https://www.pratham.org,Education,info@pratham.org,https://www.linkedin.com/company/pratham-education-foundation,Public NGO Directory,2026-05-07,True
Goonj,"New Delhi, Delhi",https://goonj.org,Humanitarian,info@goonj.org,https://www.linkedin.com/company/goonj,Public NGO Directory,2026-05-07,True
Akshaya Patra Foundation,"Bengaluru, Karnataka",https://www.akshayapatra.org,Food Security,info@akshayapatra.org,https://www.linkedin.com/company/akshaya-patra-foundation,Public NGO Directory,2026-05-07,True
CRY – Child Rights and You,"Mumbai, Maharashtra",https://www.cry.org,Child Rights,info@cry.org,https://www.linkedin.com/company/cry-child-rights-and-you,Public NGO Directory,2026-05-07,True
Smile Foundation,"New Delhi, Delhi",https://www.smilefoundationindia.org,Education,info@smilefoundationindia.org,https://www.linkedin.com/company/smile-foundation,Public NGO Directory,2026-05-07,True
HelpAge India,"New Delhi, Delhi",https://www.helpageindia.org,Elder Care,info@helpageindia.org,https://www.linkedin.com/company/helpage-india,Public NGO Directory,2026-05-07,True
Udaan India Foundation,"Jaipur, Rajasthan",https://udaanindiaorg.com,Education,info@udaanindiaorg.com,https://www.linkedin.com/company/udaan-india-foundation,Public NGO Directory,2026-05-07,True
Magic Bus India Foundation,"Mumbai, Maharashtra",https://www.magicbus.org,Youth Development,info@magicbus.org,https://www.linkedin.com/company/magic-bus-india-foundation,Public NGO Directory,2026-05-07,True
Nanhi Kali,"Mumbai, Maharashtra",https://www.nanhikali.org,Girl Education,info@nanhikali.org,https://www.linkedin.com/company/nanhi-kali,Public NGO Directory,2026-05-07,True
iPartner India,"Chennai, Tamil Nadu",https://www.ipartnerindia.org,Livelihood,info@ipartnerindia.org,https://www.linkedin.com/company/ipartner-india,Public NGO Directory,2026-05-07,True
Teach For India,"Mumbai, Maharashtra",https://www.teachforindia.org,Education,info@teachforindia.org,https://www.linkedin.com/company/teach-for-india,Public NGO Directory,2026-05-07,True
Sammaan Foundation,"Patna, Bihar",https://sammaanfoundation.org,Sanitation,info@sammaanfoundation.org,https://www.linkedin.com/company/sammaan-foundation,Public NGO Directory,2026-05-07,True
GiveIndia Foundation,"Bengaluru, Karnataka",https://www.giveindia.org,Platform,info@giveindia.org,https://www.linkedin.com/company/giveindia-foundation,Public NGO Directory,2026-05-07,True
Muktangan,"Mumbai, Maharashtra",https://www.muktangan.org,Education,info@muktangan.org,https://www.linkedin.com/company/muktangan,Public NGO Directory,2026-05-07,True
SOS Children's Villages India,"New Delhi, Delhi",https://www.sos-india.org,Child Welfare,info@sos-india.org,https://www.linkedin.com/company/sos-children-s-villages-india,Public NGO Directory,2026-05-07,True
Jan Sahas Social Development Society,"Dewas, Madhya Pradesh",https://www.jansahas.org,Human Rights,info@jansahas.org,https://www.linkedin.com/company/jan-sahas-social-development-society,Public NGO Directory,2026-05-07,True
Gram Vikas,"Berhampur, Odisha",https://www.gramvikas.org,Rural Development,info@gramvikas.org,https://www.linkedin.com/company/gram-vikas,Public NGO Directory,2026-05-07,True
Vidya Poshak,"Dharwad, Karnataka",https://www.vidyaposhak.ngo,Scholarships,info@vidyaposhak.ngo,https://www.linkedin.com/company/vidya-poshak,Public NGO Directory,2026-05-07,True
Parivaar Education Society,"Kolkata, West Bengal",https://www.parivaar.org,Education,info@parivaar.org,https://www.linkedin.com/company/parivaar-education-society,Public NGO Directory,2026-05-07,True
Navnirmiti,"Pune, Maharashtra",https://navnirmiti.org,Education,info@navnirmiti.org,https://www.linkedin.com/company/navnirmiti,Public NGO Directory,2026-05-07,True
Digital Empowerment Foundation,"New Delhi, Delhi",https://www.defindia.org,Digital Inclusion,info@defindia.org,https://www.linkedin.com/company/digital-empowerment-foundation,Public NGO Directory,2026-05-07,True
Uday Foundation,"New Delhi, Delhi",https://www.udayfoundation.org,Healthcare,info@udayfoundation.org,https://www.linkedin.com/company/uday-foundation,Public NGO Directory,2026-05-07,True
SEWA (Self Employed Women's Association),"Ahmedabad, Gujarat",https://www.sewa.org,Women Empowerment,info@sewa.org,https://www.linkedin.com/company/sewa-self-employed-women-s-association,Public NGO Directory,2026-05-07,True
Swayam Shikshan Prayog,"Mumbai, Maharashtra",https://www.sspindia.org,Women Empowerment,info@sspindia.org,https://www.linkedin.com/company/swayam-shikshan-prayog,Public NGO Directory,2026-05-07,True
Loreto Day School Sealdah,"Kolkata, West Bengal",https://loretosealdah.org,Education,info@loretosealdah.org,https://www.linkedin.com/company/loreto-day-school-sealdah,Public NGO Directory,2026-05-07,True
Rang De,"Bengaluru, Karnataka",https://rangde.in,Microfinance,info@rangde.in,https://www.linkedin.com/company/rang-de,Public NGO Directory,2026-05-07,True
Project DEFY,"Bengaluru, Karnataka",https://projectdefy.org,Education,info@projectdefy.org,https://www.linkedin.com/company/project-defy,Public NGO Directory,2026-05-07,True
Waste Warriors Society,"Dehradun, Uttarakhand",https://wastewarriors.org,Environment,info@wastewarriors.org,https://www.linkedin.com/company/waste-warriors-society,Public NGO Directory,2026-05-07,True
Arghyam Foundation,"Bengaluru, Karnataka",https://www.arghyam.org,Water & Sanitation,info@arghyam.org,https://www.linkedin.com/company/arghyam-foundation,Public NGO Directory,2026-05-07,True
Antarang Foundation,"Mumbai, Maharashtra",https://www.antarangfoundation.org,Career Guidance,info@antarangfoundation.org,https://www.linkedin.com/company/antarang-foundation,Public NGO Directory,2026-05-07,True
